850297,Ms.,Shawna,W,Buck,F,shawna.buck@gmail.com,Rosario Buck,Keisha Buck,12/18/2010,6.61,119090,Las Vegas,NV
304721,Mr.,Nathaniel,Z,Burke,M,nathaniel.burke@walmart.com,Derrick Burke,Phoebe Burke,4/25/2017,0.26,117991,Irons,MI
412317,Drs.,Elisabeth,W,Foster,F,elisabeth.foster@gmail.com,Irwin Foster,Janie Foster,3/27/2017,0.34,161045,Lexington,KY
621375,Mrs.,Briana,C,Lancaster,F,briana.lancaster@yahoo.com,Jeffrey Lancaster,Shelby Lancaster,2/25/2003,14.43,142616,Munster,IN
787549,Hon.,Estella,L,Potter,F,estella.potter@gmail.com,Booker Potter,Katelyn Potter,10/11/2016,0.79,135706,Fairbanks,AK
520092,Mr.,Lamont,L,Woods,M,lamont.woods@hotmail.com,Ignacio Woods,Beulah Woods,11/27/2014,2.67,173027,Purcellville,VA
795934,Ms.,Melinda,L,Lopez,F,melinda.lopez@hotmail.com,Leroy Lopez,Edna Lopez,11/22/2005,11.69,41287,Stowell,TX
159108,Mrs.,Shanna,U,Silva,F,shanna.silva@gmail.com,Eliseo Silva,Minnie Silva,10/23/1999,17.78,85833,Herndon,VA
330816,Ms.,Jasmine,J,Freeman,F,jasmine.freeman@gmail.com,Hans Freeman,Renee Freeman,2/1/1983,34.51,154216,Ocoee,TN
532002,Ms.,Madge,V,Sargent,F,madge.sargent@aol.com,Luke Sargent,Judy Sargent,4/13/2006,11.3,133003,Springfield,IL
612850,Ms.,Bethany,Z,Cline,F,bethany.cline@yahoo.ca,Eddie Cline,Deanne Cline,4/19/2008,9.28,154836,Montgomery,PA
483751,Prof.,Reid,F,Randolph,M,reid.randolph@gmail.com,Grover Randolph,Erika Randolph,4/8/2017,0.3,124757,Pacoima,CA
252938,Hon.,Antoine,H,Wiley,M,antoine.wiley@verizon.net,Frances Wiley,Naomi Wiley,4/18/2017,0.28,58733,Canby,OR
966375,Dr.,Mathew,O,Hodge,M,mathew.hodge@hotmail.com,Prince Hodge,Regina Hodge,11/11/2016,0.71,75584,Van Nuys,CA
707520,Mr.,Bernardo,L,Austin,M,bernardo.austin@hotmail.com,Lowell Austin,Shauna Austin,1/26/2005,12.51,118693,Knoxville,IA
673049,Dr.,Cole,E,Jensen,M,cole.jensen@aol.com,Terence Jensen,Belinda Jensen,5/30/2011,6.17,98381,Oklahoma City,OK
265124,Ms.,Tonia,J,Burns,F,tonia.burns@gmail.com,Johnathan Burns,Brianna Burns,9/12/2014,2.88,102274,Friant,CA
300693,Mr.,Tod,N,Holcomb,M,tod.holcomb@outlook.com,Gail Holcomb,Beulah Holcomb,6/5/2015,2.15,91719,Patuxent River,MD
369712,Mrs.,Yesenia,B,Guerrero,F,yesenia.guerrero@btinternet.com,Alfred Guerrero,Lori Guerrero,3/3/1994,23.42,150016,Reisterstown,MD
913253,Mr.,Carey,B,Ferrell,M,carey.ferrell@yahoo.com,Robby Ferrell,Christi Ferrell,10/30/2004,12.75,125232,New Baltimore,NY
308617,Mrs.,Aileen,D,Blanchard,F,aileen.blanchard@gmail.com,Kurt Blanchard,Virgie Blanchard,7/18/2009,8.03,179264,Herman,NE
766783,Mrs.,Marta,N,Cervantes,F,marta.cervantes@gmail.com,Fletcher Cervantes,Hazel Cervantes,9/17/2016,0.86,68134,Hoquiam,WA
959506,Mr.,Arthur,Q,Holloway,M,arthur.holloway@aol.com,Reggie Holloway,Rosemarie Holloway,1/27/2004,13.51,118621,Dodson,LA
513011,Ms.,Tara,Y,Forbes,F,tara.forbes@gmail.com,Davis Forbes,Elvia Forbes,9/24/2009,7.85,85864,Sheldon,IA
290808,Mr.,Josef,S,Griffin,M,josef.griffin@yahoo.com,Dee Griffin,Leonor Griffin,2/25/1998,19.43,98030,Sacramento,CA
253588,Ms.,Keri,J,Slater,F,keri.slater@apple.com,Tyler Slater,Jeanne Slater,8/9/1994,22.98,149842,Friendship,ME
865628,Mr.,Desmond,R,Wynn,M,desmond.wynn@hotmail.com,Louis Wynn,Marianne Wynn,10/1/2013,3.82,79476,Fresno,CA
583924,Mrs.,Adrienne,H,Puckett,F,adrienne.puckett@verizon.net,Fletcher Puckett,Nicole Puckett,2/22/1997,20.44,105366,Burlingame,CA
932453,Mrs.,Beatriz,I,Knowles,F,beatriz.knowles@gmail.com,Jackson Knowles,Ava Knowles,9/16/2011,5.87,53311,Arlee,MT
432168,Hon.,Jermaine,S,Sykes,M,jermaine.sykes@apple.com,Garth Sykes,Sheila Sykes,5/24/2016,1.18,122631,Welaka,FL
463784,Mr.,Scott,H,Best,M,scott.best@cox.net,Chase Best,Wendi Best,12/22/2015,1.6,45210,Bairoil,WY
721098,Ms.,Isabel,Q,Espinoza,F,isabel.espinoza@gmail.com,Kennith Espinoza,Louisa Espinoza,10/14/1993,23.8,115858,Tupelo,OK
392678,Mr.,Marcelino,Y,Kinney,M,marcelino.kinney@gmail.com,Alexander Kinney,Elizabeth Kinney,2/28/2017,0.41,178750,Little Rock,AR
880704,Dr.,Benjamin,X,Jennings,M,benjamin.jennings@gmail.com,Wilfredo Jennings,Toni Jennings,6/10/2001,16.14,115574,Shungnak,AK
186102,Drs.,Marcia,N,Casey,F,marcia.casey@gmail.com,Lynn Casey,Melinda Casey,11/8/2013,3.72,118607,Victoria,TX
350367,Mr.,Rudolph,P,Gordon,M,rudolph.gordon@aol.com,Shelton Gordon,Valerie Gordon,11/12/2001,15.72,98990,Shinnston,WV
893976,Ms.,Beverly,I,Rosales,F,beverly.rosales@yahoo.com,Jerrod Rosales,Dianna Rosales,4/24/2005,12.27,139394,Rossville,IL
542826,Mr.,Marcus,D,Bolton,M,marcus.bolton@aol.com,Ernie Bolton,Gloria Bolton,1/9/2011,6.55,63525,Bellerose,NY
590579,Ms.,Priscilla,Z,Mays,F,priscilla.mays@gmail.com,Will Mays,Alexandra Mays,2/26/2017,0.42,185105,Fairview,MI
297741,Ms.,Lynn,E,Pena,F,lynn.pena@yahoo.co.in,Joshua Pena,Carey Pena,11/8/1996,20.73,48443,Castleton,IL
458320,Ms.,Tessa,D,Pace,F,tessa.pace@aol.com,Edwin Pace,Matilda Pace,12/29/2012,4.58,44198,Austinville,IA
297059,Mr.,Rufus,S,Guerra,M,rufus.guerra@rediffmail.com,Carmen Guerra,Regina Guerra,5/1/2004,13.25,169620,Adams Basin,NY
874971,Mr.,Roman,R,Clark,M,roman.clark@aol.com,Denny Clark,Nola Clark,1/8/1985,32.57,125299,Lampeter,PA
136626,Ms.,Carmela,D,Jefferson,F,carmela.jefferson@walmart.com,Emile Jefferson,Lena Jefferson,2/27/2003,14.42,132431,Keystone Heights,FL
865495,Mr.,Thurman,J,Good,M,thurman.good@yahoo.com,Tim Good,Selena Good,2/6/2017,0.47,118525,Eddyville,IL
415161,Dr.,Lemuel,V,Guerrero,M,lemuel.guerrero@aol.com,Silas Guerrero,Cecelia Guerrero,10/15/2011,5.79,127772,Listie,PA
279563,Mr.,Clint,A,Bridges,M,clint.bridges@aol.com,Jimmy Bridges,Leila Bridges,10/14/2015,1.79,67442,Blue Island,IL
201710,Ms.,Karyn,A,Christian,F,karyn.christian@aol.com,Joel Christian,Laverne Christian,6/18/2017,0.11,96197,Ardenvoir,WA
722543,Ms.,Lesa,E,Hughes,F,lesa.hughes@bp.com,Angelo Hughes,Johnnie Hughes,1/3/2016,1.57,96641,Terre Haute,IN
909337,Mr.,Rich,M,Bates,M,rich.bates@apple.com,Dario Bates,Selma Bates,1/22/2011,6.52,145181,Maysville,KY
601071,Ms.,Liz,H,Frank,F,liz.frank@hotmail.com,Jules Frank,Eva Frank,2/14/2009,8.45,199943,Amherst,MA
269523,Hon.,Kendra,X,Villarreal,F,kendra.villarreal@gmail.com,Abraham Villarreal,Beryl Villarreal,3/30/2007,10.34,144517,Beaman,IA
310986,Drs.,Maryellen,R,Mcfadden,F,maryellen.mcfadden@hotmail.co.uk,Terrell Mcfadden,Jewel Mcfadden,4/14/2017,0.29,94221,Tuckerman,AR
323914,Mr.,German,M,Carney,M,german.carney@aol.com,Damien Carney,Elvia Carney,5/14/2000,17.22,84824,Lakeview,MI
928739,Hon.,Micheal,A,Shannon,M,micheal.shannon@earthlink.net,Jackson Shannon,Casey Shannon,2/27/2015,2.42,143864,Arlington,IL
238992,Dr.,Carlo,X,Albert,M,carlo.albert@gmail.com,Sydney Albert,Clarice Albert,12/26/1996,20.6,104197,Liverpool,NY
434046,Mrs.,Bianca,I,Langley,F,bianca.langley@gmail.com,Elvis Langley,Georgina Langley,4/14/1994,23.3,80844,Escatawpa,MS
971444,Mr.,Elias,X,Cabrera,M,elias.cabrera@yahoo.com,Boyd Cabrera,Laurel Cabrera,5/2/2016,1.24,87962,Oaks,PA
602683,Ms.,Alberta,A,Chapman,F,alberta.chapman@comcast.net,Bradley Chapman,Karla Chapman,6/29/1999,18.09,125428,Rochester,NY
145327,Mr.,Erin,M,Olsen,M,erin.olsen@yahoo.ca,Nick Olsen,Essie Olsen,4/19/2016,1.27,66575,Farmington,PA
597202,Dr.,Frederic,E,Stephenson,M,frederic.stephenson@gmail.com,Jeremy Stephenson,Clara Stephenson,4/23/2013,4.27,192498,Seligman,MO
168824,Mr.,Tanner,T,Caldwell,M,tanner.caldwell@aol.com,Harlan Caldwell,Adriana Caldwell,6/6/1999,18.16,116635,Michigan City,IN
616665,Mr.,Clarence,I,Powers,M,clarence.powers@gmail.com,Chase Powers,Aileen Powers,4/11/2005,12.3,108511,Macon,GA
